tenure,monthly_charges,total_charges,num_products,support_tickets,login_frequency,contract_type,payment_method,senior_citizen,tech_support,online_backup,churn
47,55.33,2529.8,1,0,23,Month-to-month,Bank transfer,0,No,No,1
35,49.65,1733.47,3,0,10,Month-to-month,Electronic check,0,Yes,No,0
36,54.97,1759.16,2,0,23,Month-to-month,Mailed check,0,Yes,No,0
50,97.47,4851.37,1,0,2,Month-to-month,Bank transfer,0,No,No,1
4,86.14,315.16,2,1,22,Month-to-month,Mailed check,0,No,No,0
2,38.52,69.5,4,1,22,One year,Electronic check,0,No,No,0
6,37.41,192.49,2,1,1,Month-to-month,Electronic check,0,Yes,No,0
54,29.84,1382.41,2,0,8,One year,Electronic check,0,No,No,0
4,86.03,328.22,1,1,18,One year,Credit card,0,No,Yes,0
54,96.44,4784.31,4,4,1,Month-to-month,Bank transfer,1,Yes,No,1
63,46.5,2589.61,3,2,27,Month-to-month,Mailed check,0,No,Yes,0
18,22.09,374.6,1,0,18,One year,Electronic check,0,No,Yes,0
44,28.22,1102.52,1,2,1,One year,Credit card,0,Yes,No,0
34,116.79,3719.29,1,0,14,Two year,Electronic check,1,No,No,0
62,49.54,2776.25,1,1,23,Two year,Electronic check,0,No,No,0
14,96.92,1320.97,2,1,20,Two year,Mailed check,0,No,Yes,0
48,82.47,3852.09,4,1,2,One year,Credit card,0,Yes,No,0
15,58.19,804.42,2,2,4,Two year,Electronic check,0,No,No,0
72,40.57,2636.6,3,3,10,Two year,Electronic check,0,Yes,Yes,0
62,32.14,1802.15,2,2,26,Two year,Mailed check,1,No,No,0
40,81.5,3164.99,3,0,23,Month-to-month,Electronic check,1,Yes,Yes,0
53,97.46,4644.85,3,1,6,Two year,Bank transfer,0,No,No,0
24,84.39,1785.07,1,0,5,Month-to-month,Mailed check,0,No,No,0
26,73.03,1638.08,2,1,13,One year,Mailed check,1,Yes,Yes,0
60,24.2,1335.85,2,2,28,Month-to-month,Electronic check,0,No,Yes,0
41,116.85,4418.7,1,2,0,Month-to-month,Electronic check,0,No,Yes,0
29,99.87,2827.12,2,0,25,Month-to-month,Credit card,0,Yes,Yes,1
15,49.28,652.85,2,0,16,Month-to-month,Credit card,0,No,Yes,1
45,118.0,4816.96,4,1,16,Month-to-month,Electronic check,0,No,Yes,1
65,80.19,5062.55,2,0,13,Two year,Electronic check,1,Yes,Yes,0
71,78.24,5408.07,3,0,9,Month-to-month,Electronic check,0,No,Yes,0
9,94.81,774.52,2,2,29,Month-to-month,Bank transfer,0,No,Yes,0
1,101.18,92.97,3,0,7,Month-to-month,Bank transfer,0,Yes,Yes,0
8,85.65,613.59,2,0,7,One year,Mailed check,0,No,No,0
63,32.81,2046.12,3,2,13,Month-to-month,Bank transfer,0,Yes,No,0
11,53.83,513.85,2,2,6,Month-to-month,Bank transfer,0,No,Yes,1
8,112.81,893.51,2,3,5,Month-to-month,Credit card,0,No,No,1
35,42.46,1415.63,2,1,3,One year,Electronic check,1,Yes,No,0
35,57.22,1861.98,2,2,0,Month-to-month,Electronic check,0,No,No,0
33,63.21,1783.26,1,1,14,Month-to-month,Electronic check,0,No,Yes,1
5,63.94,294.55,1,2,30,Month-to-month,Credit card,0,Yes,No,0
41,81.29,3036.8,1,1,24,Two year,Bank transfer,0,No,Yes,0
28,114.31,2797.98,3,3,14,Month-to-month,Bank transfer,0,No,Yes,0
7,44.07,292.59,1,1,0,One year,Electronic check,0,No,Yes,1
72,32.15,2304.78,1,1,19,Month-to-month,Electronic check,0,No,Yes,0
12,39.75,445.67,3,4,2,Month-to-month,Electronic check,0,Yes,No,0
34,108.69,3537.34,2,0,22,Month-to-month,Bank transfer,0,Yes,No,0
33,84.58,2401.13,2,2,4,Month-to-month,Electronic check,0,No,No,0
48,48.59,2128.59,1,2,4,Month-to-month,Electronic check,0,No,Yes,0
23,101.59,2026.87,4,1,3,Month-to-month,Bank transfer,0,No,Yes,0
62,106.14,6198.47,3,4,16,Month-to-month,Electronic check,0,Yes,Yes,1
37,104.65,3836.32,3,2,20,One year,Mailed check,0,No,Yes,0
44,111.89,4673.39,2,4,19,Two year,Electronic check,0,No,No,1
35,45.22,1363.53,3,0,13,Month-to-month,Credit card,0,Yes,No,0
65,95.5,5606.61,1,1,25,One year,Bank transfer,0,Yes,No,0
47,66.05,2895.12,1,3,28,Two year,Credit card,0,No,No,0
3,104.2,284.62,1,3,7,Two year,Mailed check,0,Yes,Yes,0
1,92.85,90.53,2,1,1,Month-to-month,Credit card,0,Yes,Yes,0
5,97.64,474.63,2,0,7,One year,Credit card,0,No,No,0
14,85.62,1128.89,2,1,0,Month-to-month,Bank transfer,1,No,Yes,0
27,37.74,923.21,1,2,28,One year,Credit card,0,No,No,0
9,74.5,595.61,2,2,3,Month-to-month,Electronic check,1,No,No,0
15,118.47,1538.71,3,2,18,Month-to-month,Mailed check,0,No,Yes,0
42,113.74,4314.82,2,1,4,Month-to-month,Electronic check,1,No,No,1
51,24.32,1131.14,3,1,28,Month-to-month,Bank transfer,0,Yes,No,0
63,36.48,2186.48,1,3,4,One year,Bank transfer,0,Yes,Yes,0
52,33.17,1636.4,3,3,20,Month-to-month,Bank transfer,0,Yes,No,0
4,92.6,318.74,2,2,27,One year,Electronic check,0,Yes,Yes,0
23,101.78,2128.59,1,3,19,Month-to-month,Mailed check,1,Yes,No,0
15,41.35,544.12,1,2,23,Month-to-month,Electronic check,0,Yes,Yes,0
43,70.59,2651.46,2,2,18,One year,Bank transfer,1,Yes,Yes,0
29,104.07,2939.85,3,1,11,Two year,Electronic check,0,Yes,No,0
36,93.28,2875.48,2,0,19,Month-to-month,Credit card,0,No,Yes,0
13,74.22,880.8,1,1,0,Month-to-month,Electronic check,0,Yes,No,1
32,79.03,2213.42,3,2,6,Two year,Electronic check,1,No,No,0
71,70.84,4938.6,3,3,16,Month-to-month,Credit card,0,Yes,Yes,0
59,49.75,2740.22,2,2,30,Two year,Mailed check,0,No,No,0
28,76.5,1895.04,2,1,1,One year,Electronic check,0,No,No,1
66,88.89,5428.87,1,1,10,Month-to-month,Mailed check,0,No,Yes,1
42,107.33,4326.3,2,0,6,Month-to-month,Electronic check,1,No,No,1
45,83.63,3739.71,2,0,16,Month-to-month,Credit card,0,No,No,0
62,96.11,5262.04,4,3,26,Month-to-month,Bank transfer,0,Yes,No,0
57,36.01,2017.53,2,1,2,Two year,Electronic check,0,No,No,1
6,66.16,393.05,2,2,28,One year,Bank transfer,0,No,No,0
28,20.93,578.69,2,2,21,One year,Electronic check,0,No,No,0
28,44.67,1182.36,4,1,5,One year,Bank transfer,0,Yes,No,0
44,92.65,3850.24,3,1,21,Month-to-month,Credit card,0,No,Yes,0
30,119.18,3255.34,2,2,10,One year,Credit card,0,No,No,0
62,29.92,1786.14,3,2,28,Month-to-month,Electronic check,0,No,Yes,1
62,60.15,3467.11,2,1,17,One year,Electronic check,0,No,No,0
1,100.01,95.17,2,2,17,Month-to-month,Electronic check,1,Yes,No,0
27,40.4,997.28,1,1,21,One year,Bank transfer,1,Yes,No,0
62,75.51,4493.07,2,0,9,Two year,Mailed check,0,No,Yes,0
3,93.31,272.56,1,0,4,Month-to-month,Mailed check,0,Yes,No,0
70,81.6,4980.67,4,0,29,Month-to-month,Credit card,0,Yes,Yes,0
72,38.8,2723.59,2,4,22,One year,Electronic check,0,Yes,No,0
27,55.54,1396.18,4,3,22,Month-to-month,Electronic check,0,Yes,No,0
9,98.38,864.79,2,3,20,One year,Electronic check,0,No,No,0
62,75.42,4277.15,2,0,23,Two year,Electronic check,0,Yes,Yes,0
37,20.52,688.52,2,2,25,Month-to-month,Electronic check,0,No,No,0
51,96.1,4838.66,1,2,21,Month-to-month,Mailed check,0,No,No,0
44,23.53,919.03,2,2,14,One year,Electronic check,0,No,No,0
24,94.57,2216.64,1,3,20,Month-to-month,Electronic check,0,Yes,No,0
59,40.25,2190.95,2,2,19,Month-to-month,Bank transfer,0,No,Yes,1
32,115.81,3435.81,2,1,22,Two year,Electronic check,0,No,Yes,0
52,56.79,2646.76,3,1,3,One year,Bank transfer,0,No,No,0
62,52.69,3057.56,1,0,20,Month-to-month,Electronic check,0,No,No,1
58,34.89,1818.79,1,1,20,Month-to-month,Mailed check,0,No,No,0
52,50.56,2250.24,2,1,0,One year,Credit card,0,No,Yes,0
12,107.67,1150.95,4,1,14,One year,Electronic check,0,Yes,No,0
39,119.63,3970.2,3,0,16,Two year,Mailed check,0,Yes,Yes,0
2,56.83,113.29,2,0,18,Month-to-month,Credit card,1,No,No,0
3,64.86,193.58,2,2,30,Two year,Bank transfer,0,Yes,No,0
56,92.21,4695.27,1,3,13,One year,Electronic check,0,Yes,No,0
59,108.62,6147.47,4,1,26,One year,Mailed check,0,No,No,0
2,79.3,143.04,3,2,18,One year,Bank transfer,0,Yes,Yes,0
2,59.15,112.46,1,1,17,Month-to-month,Credit card,1,No,Yes,0
54,61.26,3211.49,2,2,27,Two year,Electronic check,0,No,Yes,0
1,89.56,88.84,1,1,1,Month-to-month,Electronic check,0,Yes,Yes,0
19,20.32,351.35,4,2,5,Month-to-month,Electronic check,0,Yes,No,0
2,81.96,158.59,1,1,12,Two year,Electronic check,0,Yes,Yes,0
53,55.55,2619.97,2,1,16,One year,Electronic check,1,Yes,No,0
44,99.42,4368.14,1,2,5,Two year,Electronic check,0,Yes,Yes,0
32,29.3,800.58,3,2,20,One year,Electronic check,0,Yes,No,0
70,78.82,5189.28,3,2,21,Month-to-month,Electronic check,1,No,No,1
32,68.1,2067.9,3,1,4,Two year,Credit card,0,Yes,Yes,0
68,84.23,5459.63,2,1,6,Month-to-month,Electronic check,0,No,Yes,0
55,26.49,1264.72,3,0,0,Two year,Electronic check,0,No,Yes,0
56,78.0,4327.72,1,2,12,Month-to-month,Electronic check,0,No,No,0
17,76.15,1135.55,2,3,18,Two year,Credit card,0,No,No,0
38,76.07,2727.09,1,1,21,Month-to-month,Bank transfer,0,Yes,Yes,0
24,80.35,1703.55,4,1,0,One year,Bank transfer,0,No,No,0
69,87.65,5419.37,2,0,12,Two year,Electronic check,1,Yes,Yes,0
70,100.5,6556.4,3,0,10,Month-to-month,Credit card,0,Yes,No,0
11,46.98,471.6,3,0,26,One year,Mailed check,0,No,Yes,0
16,102.5,1433.42,1,0,6,Two year,Electronic check,0,Yes,No,0
59,69.83,3607.61,1,0,19,One year,Bank transfer,0,Yes,No,0
70,27.71,1770.41,1,2,2,Two year,Credit card,0,No,No,0
3,25.86,74.76,2,2,25,Month-to-month,Bank transfer,1,No,Yes,0
20,53.42,1052.05,1,2,24,Month-to-month,Credit card,0,Yes,Yes,0
59,98.49,5012.6,1,1,0,Month-to-month,Credit card,1,Yes,No,1
36,90.77,2970.25,3,1,7,Month-to-month,Electronic check,0,No,No,0
19,98.86,1624.83,4,1,16,Month-to-month,Mailed check,0,No,Yes,0
67,71.73,4096.98,2,1,12,One year,Electronic check,0,Yes,No,0
19,64.02,1154.66,2,0,13,Month-to-month,Credit card,0,No,Yes,1
20,34.75,653.56,1,2,4,Month-to-month,Electronic check,0,No,Yes,1
71,52.82,3279.39,3,1,25,Month-to-month,Credit card,0,Yes,No,0
52,63.4,2917.91,3,0,23,Two year,Electronic check,0,No,No,0
33,28.86,812.91,1,0,21,One year,Mailed check,1,No,Yes,0
40,42.06,1640.75,1,1,22,Month-to-month,Electronic check,0,Yes,No,1
39,79.82,3101.16,3,0,26,Two year,Electronic check,0,No,No,0
1,93.57,81.44,2,1,23,Month-to-month,Credit card,0,Yes,Yes,1
11,119.83,1166.18,1,1,28,Two year,Electronic check,0,No,No,0
57,113.31,6331.19,2,2,5,One year,Mailed check,1,No,No,1
50,84.26,4166.53,2,1,26,Month-to-month,Electronic check,0,Yes,Yes,1
23,62.12,1304.38,2,1,21,One year,Mailed check,0,No,No,0
31,83.62,2223.07,3,0,26,One year,Electronic check,0,No,Yes,0
42,98.57,3543.41,3,2,5,Month-to-month,Electronic check,1,Yes,No,0
7,31.83,208.57,2,1,20,Two year,Credit card,1,Yes,No,0
16,60.99,886.97,4,2,7,Month-to-month,Mailed check,0,Yes,Yes,0
60,103.98,5329.79,2,2,12,Month-to-month,Electronic check,0,No,No,0
2,58.38,109.46,3,0,17,Month-to-month,Bank transfer,0,No,No,1
1,77.19,65.74,2,3,22,Month-to-month,Electronic check,0,No,Yes,1
48,78.78,3660.83,3,0,30,Month-to-month,Electronic check,0,No,No,1
12,38.45,413.4,4,2,3,Two year,Mailed check,0,No,Yes,0
69,56.22,3320.73,1,1,16,Month-to-month,Electronic check,0,Yes,No,0
37,53.45,1855.54,4,1,28,Month-to-month,Bank transfer,0,Yes,No,0
32,22.62,658.44,3,5,4,One year,Mailed check,0,No,No,0
9,22.42,200.99,3,2,2,Two year,Bank transfer,0,No,No,0
19,103.17,1826.21,1,2,3,Two year,Credit card,0,No,No,0
48,47.31,2024.0,3,1,22,One year,Electronic check,0,No,No,0
3,71.81,206.04,3,0,4,Two year,Electronic check,0,No,No,0
20,49.87,888.41,1,1,13,One year,Electronic check,0,No,No,0
24,114.07,2698.36,4,1,14,Two year,Electronic check,1,Yes,No,0
54,45.93,2247.6,1,2,19,One year,Credit card,0,No,Yes,0
33,62.97,1937.7,1,2,16,Month-to-month,Bank transfer,0,No,No,0
24,107.27,2207.84,2,0,5,Month-to-month,Mailed check,1,No,No,1
72,104.19,6855.92,2,3,26,One year,Mailed check,0,No,No,0
36,38.61,1355.01,2,1,9,Month-to-month,Electronic check,1,No,No,0
38,100.26,3698.81,1,0,21,Month-to-month,Bank transfer,0,No,Yes,0
25,65.82,1454.04,4,3,22,One year,Bank transfer,0,Yes,Yes,0
18,68.3,1086.68,1,2,15,Two year,Bank transfer,0,No,Yes,0
66,33.35,2140.78,1,0,16,Month-to-month,Electronic check,0,No,No,1
54,28.06,1499.42,1,0,13,One year,Bank transfer,0,Yes,No,0
35,92.79,2806.96,2,3,19,One year,Mailed check,0,Yes,No,0
61,69.65,3898.17,4,0,11,Two year,Mailed check,1,No,No,0
41,63.69,2351.78,3,4,8,Two year,Mailed check,0,Yes,No,0
33,92.95,3007.85,3,2,14,One year,Mailed check,0,No,No,0
68,96.55,5662.85,1,1,11,One year,Bank transfer,0,No,No,0
33,35.89,1044.22,2,0,13,Month-to-month,Credit card,0,Yes,Yes,0
14,81.02,1092.16,2,0,25,One year,Electronic check,0,No,No,0
21,33.54,604.11,2,0,21,One year,Credit card,0,No,No,0
48,95.14,4219.1,1,1,17,Two year,Mailed check,0,No,No,0
20,85.7,1570.57,3,2,19,One year,Bank transfer,0,No,No,0
8,115.66,832.9,2,0,5,Month-to-month,Credit card,0,No,No,0
7,26.9,171.2,3,2,3,One year,Mailed check,0,Yes,Yes,0
67,25.71,1601.11,2,4,30,Month-to-month,Credit card,0,Yes,Yes,0
17,48.22,716.62,1,1,25,Month-to-month,Electronic check,0,Yes,No,0
33,46.17,1425.79,2,1,22,Month-to-month,Electronic check,0,No,Yes,0
48,44.7,2082.98,1,1,11,Month-to-month,Bank transfer,0,No,Yes,1
59,110.63,6292.35,3,4,12,Two year,Credit card,0,No,Yes,0
22,44.95,863.39,2,3,18,Month-to-month,Credit card,0,No,No,0
30,47.19,1235.04,1,2,21,Month-to-month,Bank transfer,0,Yes,No,0
38,95.94,3245.52,4,3,12,Two year,Mailed check,0,Yes,Yes,0
51,64.97,2995.91,2,4,30,Month-to-month,Electronic check,0,No,No,1
54,97.67,4806.19,1,3,11,Month-to-month,Credit card,0,No,No,1
8,26.54,202.12,2,2,19,Month-to-month,Electronic check,1,No,Yes,0
27,68.76,1593.83,1,1,2,Month-to-month,Bank transfer,0,Yes,Yes,1
27,23.36,539.39,3,1,27,Month-to-month,Mailed check,0,No,No,0
21,26.27,501.35,3,0,2,Month-to-month,Bank transfer,0,No,No,1
30,110.64,3168.42,4,1,13,One year,Mailed check,1,No,Yes,0
28,33.92,834.85,2,1,17,Month-to-month,Credit card,0,Yes,Yes,1
64,73.24,4435.3,2,2,26,Month-to-month,Bank transfer,0,No,Yes,0
69,61.11,3748.44,3,2,18,Two year,Credit card,0,No,Yes,0
61,54.73,3281.48,1,0,28,Month-to-month,Electronic check,0,No,No,0
48,109.98,5196.44,2,1,27,Two year,Bank transfer,0,Yes,No,0
19,22.18,377.0,2,2,29,Month-to-month,Bank transfer,0,Yes,No,0
4,86.38,305.61,1,0,9,Month-to-month,Bank transfer,0,No,No,1
35,116.34,3712.33,2,1,16,One year,Credit card,0,Yes,Yes,0
64,76.02,4311.03,3,1,14,Month-to-month,Electronic check,0,No,No,0
49,113.68,5296.58,3,0,18,Month-to-month,Electronic check,0,Yes,Yes,0
17,25.23,417.72,1,2,8,One year,Mailed check,0,Yes,No,0
44,61.88,2589.21,1,2,3,Month-to-month,Electronic check,0,No,No,0
30,46.02,1344.22,1,1,14,One year,Credit card,1,No,No,0
46,93.08,3894.4,3,1,18,Two year,Electronic check,0,No,No,0
6,118.13,619.08,1,5,15,Month-to-month,Mailed check,0,No,No,0
37,45.65,1622.66,3,4,7,One year,Electronic check,1,Yes,No,0
24,85.42,1853.42,1,2,16,One year,Mailed check,0,No,No,0
46,39.81,1740.96,2,0,20,Two year,Mailed check,0,Yes,No,0
53,76.53,3612.34,2,1,0,Two year,Electronic check,0,No,No,0
60,66.39,3434.43,3,1,6,Two year,Electronic check,1,Yes,No,0
63,117.2,7375.38,1,2,20,Month-to-month,Mailed check,0,Yes,No,1
32,80.85,2259.74,2,0,30,One year,Credit card,0,Yes,Yes,0
33,54.95,1810.2,1,0,17,Month-to-month,Electronic check,0,Yes,Yes,0
67,31.41,2097.3,3,3,11,Month-to-month,Mailed check,1,No,No,1
18,35.12,612.61,3,1,15,Two year,Credit card,0,No,No,0
25,42.53,1008.93,1,1,29,Month-to-month,Bank transfer,1,No,Yes,0
54,45.1,2281.17,3,0,0,Two year,Credit card,0,No,No,0
58,105.06,5971.09,2,1,26,Month-to-month,Credit card,0,Yes,Yes,1
67,76.12,4556.46,1,2,14,Two year,Mailed check,0,Yes,No,0
46,72.34,3061.94,2,0,6,Month-to-month,Bank transfer,0,Yes,Yes,0
24,31.48,712.39,1,1,27,Month-to-month,Electronic check,0,Yes,No,0
32,106.01,3092.71,3,2,16,Month-to-month,Mailed check,1,No,No,0
47,92.28,3964.7,3,1,2,One year,Credit card,0,No,Yes,0
23,26.77,553.86,1,2,10,Month-to-month,Mailed check,1,Yes,Yes,0
66,90.78,5599.85,2,0,30,One year,Bank transfer,0,Yes,No,0
27,74.35,1962.46,3,2,5,Month-to-month,Bank transfer,0,Yes,No,1
2,28.17,49.59,4,3,30,Month-to-month,Electronic check,1,Yes,No,1
17,65.83,1108.1,2,2,5,Month-to-month,Credit card,0,Yes,No,0
33,68.47,2154.13,4,3,14,Month-to-month,Mailed check,0,No,Yes,0
9,36.58,320.49,2,3,6,Two year,Electronic check,0,Yes,No,0
43,114.57,4598.55,2,3,10,Two year,Credit card,0,No,No,0
48,105.0,4873.31,3,2,29,Month-to-month,Mailed check,0,Yes,No,0
39,86.9,2888.97,2,1,26,One year,Bank transfer,0,Yes,No,0
42,66.23,2705.88,2,0,16,One year,Mailed check,1,No,No,0
26,61.18,1361.66,2,0,22,Month-to-month,Mailed check,0,No,No,1
50,85.1,4184.74,3,1,17,Month-to-month,Credit card,0,Yes,Yes,1
25,74.54,1861.25,3,0,21,One year,Bank transfer,0,No,Yes,0
24,26.23,562.86,2,2,28,Month-to-month,Mailed check,0,Yes,No,0
13,71.25,816.53,2,3,23,Month-to-month,Electronic check,0,Yes,No,0
60,100.64,5825.88,2,2,28,Month-to-month,Credit card,1,No,No,1
7,65.92,409.74,2,2,20,One year,Electronic check,0,No,No,0
57,25.2,1407.43,1,1,25,Month-to-month,Credit card,0,Yes,Yes,0
36,98.63,3072.85,3,0,18,Month-to-month,Mailed check,1,Yes,No,0
45,40.14,1569.48,2,1,26,Month-to-month,Bank transfer,0,No,Yes,0
20,45.86,914.33,2,2,7,Month-to-month,Credit card,1,Yes,Yes,1
65,36.47,2254.57,1,3,23,Month-to-month,Electronic check,0,Yes,Yes,0
8,53.02,414.42,1,1,19,Two year,Bank transfer,0,No,No,0
16,95.68,1375.72,4,1,7,Month-to-month,Bank transfer,1,No,Yes,1
14,71.94,958.29,2,1,20,One year,Bank transfer,0,Yes,No,0
15,40.49,570.38,1,1,28,Month-to-month,Mailed check,0,No,Yes,1
66,107.78,6690.03,2,2,10,One year,Bank transfer,0,No,No,0
32,107.96,3290.21,2,0,20,One year,Bank transfer,0,No,No,0
63,107.06,6315.16,1,3,2,Month-to-month,Credit card,0,No,No,1
51,43.88,2046.23,2,2,30,Two year,Bank transfer,0,No,Yes,0
25,65.12,1451.18,2,2,22,Month-to-month,Mailed check,1,Yes,Yes,0
58,118.5,6634.42,2,1,26,Two year,Credit card,0,Yes,No,0
63,97.2,5412.9,2,2,13,Month-to-month,Mailed check,0,No,Yes,0
62,22.72,1343.64,2,3,26,Two year,Electronic check,0,No,No,1
22,26.52,516.34,4,1,8,One year,Mailed check,0,No,No,0
58,66.39,3634.21,2,3,24,Two year,Electronic check,1,No,Yes,0
58,110.92,6189.29,1,0,0,One year,Electronic check,1,No,Yes,0
49,73.87,3195.44,1,3,0,Month-to-month,Electronic check,1,No,No,0
52,69.78,3116.9,2,3,25,One year,Electronic check,0,No,No,1
42,30.55,1115.84,3,2,27,Two year,Bank transfer,0,No,Yes,0
70,85.68,5643.14,1,1,11,Two year,Electronic check,0,Yes,No,0
15,102.21,1498.53,3,1,10,Month-to-month,Electronic check,0,No,No,0
54,58.04,2685.19,1,2,30,One year,Electronic check,0,No,No,0
60,97.56,5620.17,2,1,20,Month-to-month,Electronic check,1,No,Yes,0
8,116.45,839.56,3,3,0,One year,Electronic check,0,No,Yes,0
53,40.38,1972.74,2,4,19,Month-to-month,Bank transfer,1,Yes,No,1
60,72.33,4293.49,2,3,11,Month-to-month,Credit card,1,No,Yes,0
5,48.71,219.15,1,1,16,Two year,Credit card,1,No,Yes,1
68,99.29,6210.24,3,1,14,Month-to-month,Credit card,0,No,No,0
6,77.76,397.53,1,1,1,One year,Electronic check,1,No,Yes,1
47,83.46,3382.24,3,1,17,One year,Electronic check,0,Yes,Yes,0
55,99.79,4878.07,1,1,15,Month-to-month,Electronic check,0,No,Yes,1
40,59.6,2036.36,3,1,3,Month-to-month,Bank transfer,0,No,No,0
52,111.51,5477.9,2,1,7,One year,Electronic check,0,No,Yes,0
16,73.3,1071.89,3,1,1,Month-to-month,Bank transfer,0,No,No,0
13,35.8,433.86,2,4,13,Two year,Electronic check,0,No,No,1
30,89.59,2354.95,4,0,24,Two year,Electronic check,0,Yes,No,0
19,99.33,1687.96,1,3,14,Month-to-month,Credit card,1,No,Yes,1
17,51.68,834.26,1,1,27,Month-to-month,Bank transfer,0,Yes,Yes,0
63,105.72,6625.7,2,2,8,Month-to-month,Credit card,0,No,No,1
19,110.61,1802.24,1,2,1,One year,Bank transfer,0,Yes,Yes,0
58,47.69,2720.54,1,1,16,Month-to-month,Credit card,0,Yes,No,0
55,118.35,6096.12,4,1,25,Month-to-month,Bank transfer,0,No,No,0
62,34.07,1974.17,4,3,30,One year,Credit card,0,No,No,0
23,40.2,855.29,2,1,9,Two year,Electronic check,1,No,Yes,0
9,38.42,297.51,4,1,8,Month-to-month,Bank transfer,0,No,No,0
12,109.4,1133.58,2,1,30,Month-to-month,Bank transfer,0,No,Yes,1
1,85.43,80.32,1,0,1,Two year,Mailed check,0,No,Yes,0
58,35.21,1840.3,3,0,23,One year,Credit card,0,No,No,0
1,64.03,63.24,3,1,29,One year,Credit card,0,No,No,0
34,81.53,2525.28,4,2,18,One year,Mailed check,0,No,No,0
48,28.35,1185.93,1,1,16,Two year,Mailed check,1,No,No,0
1,108.24,103.61,3,2,10,One year,Mailed check,0,No,No,0
16,100.36,1435.55,1,1,16,Two year,Credit card,0,Yes,Yes,0
61,70.52,3995.53,1,0,9,One year,Bank transfer,0,No,Yes,0
64,116.71,7130.89,1,1,17,One year,Electronic check,0,Yes,No,0
63,61.78,3833.91,4,3,22,Month-to-month,Mailed check,0,Yes,Yes,1
